Experience (years),Years at Current Company,Location,Remote Ratio,Education Level,Company Size,Company Tier,Salary,Salary (USD)
18,2.3,London,0,Bachelor,Large,Tier 3,78816,63052
7.1,5.8,Bangalore,100,PhD,Small,Tier 1,77862,15572
1.7,4,San Francisco,100,PhD,Small,Tier 2,49075,53982
5.3,2.6,Austin,100,Master,Medium,Tier 2,54582,49123
1,6.4,Chicago,0,Bachelor,Large,Tier 1,42198,35868
10,2.1,San Francisco,50,Bachelor,Small,Tier 1,66050,72655
9.4,1.2,Austin,50,Bachelor,Large,Tier 3,55346,49811
10.7,1.8,Seattle,100,PhD,Large,Tier 3,78277,74363
9.4,3.2,Bangalore,0,PhD,Large,Tier 1,106583,21316
4.8,5.6,Chicago,0,Bachelor,Small,Tier 3,31477,26755
5.2,6.8,London,0,Master,Large,Tier 3,55393,44314
7,3.7,Remote,0,PhD,Medium,Tier 3,63314,56982
16.1,6,Seattle,0,Master,Medium,Tier 1,114019,108318
17.2,4.5,Remote,0,PhD,Medium,Tier 3,89629,80666
16.8,1.1,London,100,PhD,Small,Tier 1,115931,92744
1,3.3,New York,50,Bachelor,Medium,Tier 1,40879,40879
10.9,2.9,San Francisco,0,PhD,Small,Tier 3,62405,68645
17.1,5,Bangalore,50,Bachelor,Medium,Tier 2,80999,16199
9.1,3.1,Chicago,0,Bachelor,Medium,Tier 3,49160,41786
9.9,1.9,Bangalore,0,PhD,Medium,Tier 1,100293,20058
2.6,7.9,Chicago,0,Master,Small,Tier 1,48256,41017
2.6,4.7,Chicago,50,PhD,Large,Tier 1,77255,65666
18.6,4.1,Bangalore,0,Bachelor,Large,Tier 1,104728,20945
13.9,7.3,Remote,100,PhD,Small,Tier 3,70012,63010
6.9,4.7,Seattle,50,Bachelor,Medium,Tier 1,62488,59363
14.9,5.2,Chicago,100,Master,Small,Tier 3,69730,59270
4.1,7.4,London,100,Bachelor,Medium,Tier 1,48390,38712
9.8,2.2,Chicago,50,Master,Large,Tier 2,76694,65189
11.7,9,London,0,PhD,Medium,Tier 1,104344,83475
6.7,6,Austin,50,Master,Medium,Tier 1,70870,63783
8.7,6.6,Seattle,100,Bachelor,Medium,Tier 1,67465,64091
17.5,4.8,Chicago,50,Bachelor,Small,Tier 3,57182,48604
0.4,7.3,Chicago,50,Bachelor,Medium,Tier 3,27776,23609
13.3,9.1,New York,100,Master,Large,Tier 3,78230,78230
5.5,6.6,Remote,100,Bachelor,Medium,Tier 2,44745,40270
0.9,1.7,London,50,PhD,Large,Tier 1,65980,52784
4.5,3.4,New York,50,PhD,Large,Tier 3,56743,56743
6,0.2,Seattle,100,Bachelor,Small,Tier 1,49581,47101
12.9,3.7,San Francisco,50,PhD,Medium,Tier 1,115278,126805
14.5,6.1,Bangalore,0,Bachelor,Medium,Tier 2,73829,14765
14.3,4.3,New York,50,Master,Medium,Tier 2,83772,83772
3.3,4,London,100,PhD,Large,Tier 1,81243,64994
1,2.9,San Francisco,100,Master,Large,Tier 2,51720,56892
16.3,6.3,Remote,100,Bachelor,Small,Tier 3,53011,47709
5.4,3.1,London,50,Bachelor,Large,Tier 3,40049,32039
5.5,8.2,Chicago,0,Bachelor,Large,Tier 1,59092,50228
6.5,5.2,Seattle,0,Master,Large,Tier 3,53228,50566
9.3,3,London,50,Bachelor,Large,Tier 1,78091,62472
8.6,1.5,Remote,100,Bachelor,Large,Tier 1,69462,62515
9.6,8.5,San Francisco,100,Bachelor,Large,Tier 3,54800,60280
9.7,7.8,Bangalore,50,Bachelor,Medium,Tier 3,49900,9980
10.7,5.9,New York,100,Bachelor,Large,Tier 2,70017,70017
8,9.6,Bangalore,0,PhD,Small,Tier 3,61057,12211
17,8.1,Seattle,50,PhD,Small,Tier 1,121741,115653
12.1,0.4,Chicago,100,Master,Medium,Tier 2,82740,70329
5.6,6.8,Seattle,0,Bachelor,Small,Tier 1,47982,45582
16.7,5.5,New York,0,Bachelor,Medium,Tier 1,91125,91125
10.7,3.6,London,100,Master,Medium,Tier 1,90688,72550
8.9,7.3,New York,100,PhD,Small,Tier 2,75808,75808
0.8,6.1,Seattle,0,Bachelor,Large,Tier 3,35817,34026
19.2,9.7,New York,100,Bachelor,Large,Tier 2,96660,96660
7,9.9,Remote,50,PhD,Small,Tier 3,58022,52219
6.3,2.1,Bangalore,0,Bachelor,Medium,Tier 2,49698,9939
4.4,3.9,New York,50,PhD,Large,Tier 3,57158,57158
3.7,1,San Francisco,100,Master,Medium,Tier 3,37705,41475
2.7,6.2,Remote,100,Bachelor,Large,Tier 1,55120,49608
18.8,1.5,Austin,0,Bachelor,Small,Tier 3,63962,57565
16.6,3.5,London,50,Bachelor,Large,Tier 3,72487,57989
16.8,6.9,Austin,50,Bachelor,Medium,Tier 1,90169,81152
18.7,2.7,New York,50,PhD,Large,Tier 1,158341,158341
8.5,6,Seattle,100,Master,Large,Tier 3,58120,55214
14.6,8.9,Seattle,100,PhD,Medium,Tier 1,120640,114608
14.2,6.1,New York,0,Bachelor,Medium,Tier 1,86224,86224
9.4,3.4,Chicago,100,Bachelor,Small,Tier 2,56645,48148
17.6,0.9,New York,0,PhD,Small,Tier 2,99906,99906
15,2.4,New York,50,Master,Small,Tier 1,99389,99389
14.8,4.2,Austin,50,Bachelor,Medium,Tier 3,57688,51919
18.6,1.3,Bangalore,0,Bachelor,Medium,Tier 3,67945,13589
7.7,0.6,San Francisco,0,PhD,Large,Tier 2,88153,96968
13.5,7.7,Austin,0,PhD,Small,Tier 3,74272,66844
16.8,6.7,London,100,Bachelor,Large,Tier 3,66445,53156
12,7.8,San Francisco,0,PhD,Small,Tier 1,100886,110974
9,7.4,Remote,0,Master,Small,Tier 2,59798,53818
2.4,6.5,Chicago,100,Master,Small,Tier 2,42860,36431
16.8,2.7,Austin,100,Bachelor,Medium,Tier 3,67994,61194
2.3,6.7,Chicago,100,Master,Medium,Tier 3,42026,35722
5.8,2.8,Bangalore,0,Bachelor,Large,Tier 2,55010,11002
7.8,2.2,London,50,Bachelor,Small,Tier 1,57362,45889
9.6,2.6,Bangalore,0,PhD,Medium,Tier 1,94728,18945
11,8.8,New York,100,Bachelor,Small,Tier 1,72234,72234
10.9,2.5,Seattle,0,Bachelor,Small,Tier 2,61676,58592
12.6,4.2,Remote,0,PhD,Small,Tier 2,81194,73074
3.3,1.8,Bangalore,100,Master,Medium,Tier 1,59261,11852
14.9,5.2,San Francisco,100,Bachelor,Medium,Tier 3,64332,70765
5.9,2.1,London,0,PhD,Large,Tier 1,91430,73144
19.5,9.4,Chicago,100,Master,Large,Tier 2,115880,98498
2.5,2.1,London,50,Bachelor,Small,Tier 2,39016,31212
12.3,8.7,Chicago,0,Bachelor,Large,Tier 3,64610,54918
5.7,2.5,Remote,100,Master,Medium,Tier 1,66739,60065
18.4,8.3,London,100,Bachelor,Large,Tier 1,112119,89695
10.6,0.4,Bangalore,0,Bachelor,Medium,Tier 3,52777,10555
12.4,5.2,San Francisco,50,Bachelor,Medium,Tier 3,53754,59129
8.2,1.1,Austin,50,Bachelor,Small,Tier 2,47733,42959
17.8,4.4,Chicago,0,Bachelor,Large,Tier 3,75935,64544
18.2,4.1,Seattle,50,Bachelor,Large,Tier 2,94984,90234
8.5,0,London,50,Master,Small,Tier 1,69123,55298
1,5.1,Bangalore,50,PhD,Small,Tier 2,49793,9958
7.2,8.5,Remote,50,Bachelor,Medium,Tier 2,57739,51965
13.9,4.5,Seattle,100,Master,Large,Tier 1,109670,104186
3.5,3.6,Austin,0,Bachelor,Medium,Tier 3,33152,29836
2.2,2.5,New York,0,Bachelor,Large,Tier 3,39253,39253
5.7,6.5,Chicago,50,Master,Medium,Tier 1,69374,58967
18.1,1.5,Remote,100,PhD,Large,Tier 3,99655,89689
15.6,2.9,London,50,PhD,Small,Tier 2,99836,79868
2.8,5.7,Chicago,100,PhD,Large,Tier 2,63552,54019
19.9,6.7,Remote,100,Bachelor,Large,Tier 1,117521,105768
1.1,6.3,Bangalore,0,Master,Small,Tier 3,35549,7109
15.5,4.5,Austin,100,Bachelor,Large,Tier 2,81968,73771
6.8,5.3,Seattle,0,PhD,Small,Tier 1,72487,68862
0.8,1.5,San Francisco,100,Master,Medium,Tier 1,48617,53478
8.1,8.4,Chicago,0,Bachelor,Small,Tier 2,52514,44636
2.8,6.2,London,50,Bachelor,Medium,Tier 1,50109,40087
18.6,2.6,Remote,100,PhD,Small,Tier 1,121851,109665
8.5,9,London,50,Master,Large,Tier 1,83246,66596
3.3,0.6,Remote,0,Bachelor,Large,Tier 3,36776,33098
9.5,3.6,Austin,50,Bachelor,Large,Tier 1,80522,72469
19.8,5.6,Remote,50,Bachelor,Large,Tier 2,99488,89539
6.3,6.6,Bangalore,0,Bachelor,Large,Tier 1,66264,13252
2.6,4.7,Austin,100,Bachelor,Medium,Tier 3,35361,31824
3.6,0.9,New York,0,PhD,Small,Tier 1,61239,61239
0.2,4,San Francisco,0,PhD,Medium,Tier 2,49339,54272
19.5,1.2,London,50,Bachelor,Medium,Tier 1,105942,84753
12.5,1.4,New York,0,Bachelor,Large,Tier 1,83079,83079
19.1,3.5,Chicago,0,Bachelor,Small,Tier 2,72576,61689
16.8,5.3,New York,0,Master,Small,Tier 3,70685,70685
0,8.3,Bangalore,50,Master,Medium,Tier 2,37915,7583
16.4,8,Chicago,0,Master,Large,Tier 3,85841,72964
19.3,1.8,Bangalore,100,PhD,Large,Tier 1,159848,31969
11.9,4.3,Bangalore,50,PhD,Large,Tier 1,124104,24820
10.7,2.3,New York,100,Bachelor,Small,Tier 3,49561,49561
18.4,0.7,Chicago,100,PhD,Small,Tier 3,84901,72165
11.4,3.7,San Francisco,0,Bachelor,Small,Tier 1,67104,73814
11.2,6.9,New York,0,PhD,Medium,Tier 1,103222,103222
1.3,7.8,Remote,0,PhD,Large,Tier 3,42639,38375
4.7,8.8,Austin,50,PhD,Medium,Tier 1,77237,69513
15.3,3.2,Austin,0,PhD,Medium,Tier 2,104935,94441
7,4.5,San Francisco,0,Master,Large,Tier 2,71123,78235
4.9,1.5,Austin,100,Master,Small,Tier 3,40482,36433
14.7,1.2,Chicago,0,Master,Small,Tier 3,65164,55389
15.9,4.3,Chicago,0,PhD,Small,Tier 2,92065,78255
4.3,0.9,Austin,50,PhD,Large,Tier 2,71445,64300
9.3,3,New York,50,Bachelor,Large,Tier 3,51360,51360
14,1.2,Seattle,100,Bachelor,Small,Tier 1,77597,73717
9.1,0,Chicago,100,Bachelor,Small,Tier 2,51253,43565
4.5,0.2,San Francisco,100,PhD,Small,Tier 1,69521,76473
14.6,8.7,London,100,PhD,Large,Tier 1,129310,103448
9.2,6.8,Remote,50,PhD,Small,Tier 1,82552,74296
14,1.9,New York,100,PhD,Large,Tier 1,128367,128367
15.8,6.5,London,100,Bachelor,Large,Tier 1,100748,80598
9.1,9,Chicago,0,Bachelor,Medium,Tier 3,43111,36644
18.4,9.6,London,50,PhD,Medium,Tier 2,113719,90975
16.6,9.8,Chicago,50,Master,Small,Tier 2,89210,75828
1.2,0.9,San Francisco,50,Bachelor,Large,Tier 1,42651,46916
4.9,1.2,San Francisco,0,Master,Medium,Tier 1,68046,74850
3.8,8.5,Seattle,0,Bachelor,Large,Tier 2,46913,44567
8.1,3.2,Bangalore,100,PhD,Large,Tier 2,88472,17694
9.9,0.2,Seattle,0,Bachelor,Small,Tier 2,56656,53823
14.5,7.7,London,50,Master,Medium,Tier 1,100022,80017
8.8,0.6,Bangalore,100,Master,Small,Tier 1,68065,13613
13.1,0.5,San Francisco,100,Bachelor,Small,Tier 2,64432,70875
0.5,9.9,Seattle,100,PhD,Small,Tier 1,48733,46296
16.8,0.3,Austin,100,PhD,Large,Tier 2,124098,111688
16.1,3.1,Austin,50,Bachelor,Large,Tier 2,82234,74010
13.6,6.7,San Francisco,50,PhD,Small,Tier 1,100307,110337
12.4,5,Chicago,100,PhD,Medium,Tier 1,114718,97510
4.3,5.9,Chicago,100,Master,Large,Tier 1,69530,59100
5,6.3,San Francisco,0,Master,Large,Tier 2,56915,62606
14.2,7.1,London,0,Bachelor,Large,Tier 2,81606,65284
9.6,5.3,Chicago,100,Master,Medium,Tier 3,61723,52464
6.5,7.9,Chicago,0,Bachelor,Small,Tier 1,54365,46210
3.3,7.2,New York,0,Bachelor,Small,Tier 3,31579,31579
0.3,8,Austin,0,PhD,Large,Tier 2,55677,50109
15.2,5.3,New York,100,Master,Large,Tier 1,115765,115765
13,4.7,Remote,50,Master,Medium,Tier 1,94575,85117
9.8,4.4,San Francisco,0,Bachelor,Large,Tier 2,64203,70623
13.7,9.6,New York,50,Bachelor,Small,Tier 3,48757,48757
19.7,5.9,Bangalore,100,Bachelor,Small,Tier 2,75218,15043
12.9,7.3,London,50,PhD,Medium,Tier 2,94218,75374
1.6,7.4,San Francisco,50,PhD,Medium,Tier 3,44474,48921
11.9,4.9,Seattle,50,Master,Small,Tier 3,60226,57214
15.3,5.6,Bangalore,50,Bachelor,Large,Tier 2,84134,16826
18.9,4.8,New York,50,Master,Large,Tier 1,128370,128370
2.9,9,Remote,0,PhD,Large,Tier 3,50472,45424
8.6,2.2,Austin,100,Bachelor,Large,Tier 2,66058,59452
4,3.1,New York,100,Bachelor,Medium,Tier 3,33308,33308
13.6,3.3,Seattle,100,Master,Medium,Tier 3,68171,64762
5.5,9.5,Austin,100,PhD,Small,Tier 3,53038,47734
13,5.2,Remote,100,PhD,Medium,Tier 3,82702,74431
14.9,5.9,Seattle,100,Master,Small,Tier 3,62223,59111
4.7,4.3,Austin,50,PhD,Small,Tier 1,72546,65291
17.4,10,Austin,100,Bachelor,Medium,Tier 1,96605,86944
4.4,4.1,San Francisco,100,Master,Medium,Tier 3,43757,48132
7.6,3.4,Austin,50,PhD,Small,Tier 2,63937,57543
16.6,1.4,Seattle,0,Bachelor,Small,Tier 2,70926,67379
0.8,3.1,San Francisco,100,Master,Large,Tier 1,58877,64764
14.1,5.8,Chicago,50,Master,Medium,Tier 3,65517,55689
10.5,0.7,London,100,Master,Medium,Tier 1,90111,72088
19.1,3.6,San Francisco,0,Bachelor,Small,Tier 2,77940,85734
14.2,5.9,Chicago,50,PhD,Small,Tier 3,78130,66410
9.6,8.5,Austin,100,PhD,Large,Tier 1,103335,93001
13.7,2.2,London,50,PhD,Small,Tier 3,76296,61036
6.5,9.1,London,50,PhD,Small,Tier 2,62690,50152
4.5,4.4,New York,0,Bachelor,Medium,Tier 3,36394,36394
4.5,4.8,Chicago,100,PhD,Large,Tier 1,83311,70814
0.6,8.3,Austin,50,PhD,Medium,Tier 1,61107,54996
11,9,London,100,Bachelor,Medium,Tier 1,75648,60518
8,2.2,Seattle,50,PhD,Small,Tier 1,78232,74320
7.9,3.5,New York,50,Bachelor,Large,Tier 1,67774,67774
5.2,4.1,Chicago,100,Master,Large,Tier 3,51351,43648
9.5,8.4,London,50,Master,Large,Tier 3,66695,53356
1.6,7.3,Chicago,0,PhD,Large,Tier 3,47119,40051
10.1,7.7,Bangalore,50,PhD,Small,Tier 1,88989,17797
17,4.9,San Francisco,50,Master,Medium,Tier 3,79121,87033
19,7.4,Remote,0,PhD,Small,Tier 3,85900,77310
10.4,8.4,London,0,Master,Large,Tier 3,66532,53225
6.7,0.1,Remote,0,Master,Large,Tier 3,51082,45973
10.8,1.6,Bangalore,50,Master,Medium,Tier 1,88162,17632
11.1,0.9,San Francisco,50,PhD,Small,Tier 2,82079,90286
18.2,3.3,Austin,50,Bachelor,Medium,Tier 1,94883,85394
12.4,4.5,San Francisco,0,Master,Large,Tier 3,77256,84981
1.2,6.2,Bangalore,100,Bachelor,Small,Tier 2,33155,6631
6.2,6.9,Seattle,50,PhD,Large,Tier 2,77332,73465
1.1,9.6,London,100,Bachelor,Medium,Tier 2,34604,27683
2.6,8.7,London,100,Master,Small,Tier 1,52324,41859
19.9,3.3,Chicago,0,Master,Small,Tier 1,109468,93047
4.1,0.1,Chicago,0,Bachelor,Small,Tier 2,36043,30636
9.6,3.6,Austin,50,Bachelor,Medium,Tier 3,46572,41914
10.3,2,Austin,100,Bachelor,Medium,Tier 2,59556,53600
2.8,6.3,Chicago,0,Bachelor,Small,Tier 1,44473,37802
4.3,5.3,Remote,0,Bachelor,Medium,Tier 2,46996,42296
4.3,4.3,San Francisco,50,PhD,Medium,Tier 1,78903,86793
16.7,5.5,Austin,100,Master,Small,Tier 3,66704,60033
11.5,5,Chicago,100,Master,Large,Tier 2,87087,74023
19.7,9.6,Remote,0,PhD,Large,Tier 1,156370,140733
2.4,3.9,New York,0,PhD,Medium,Tier 2,51373,51373
16.2,7.7,Austin,100,PhD,Large,Tier 3,101379,91241
18.3,5.3,Remote,0,PhD,Medium,Tier 3,98341,88506
1.8,0.2,New York,50,Master,Large,Tier 2,50348,50348
17.9,9.7,Bangalore,100,Master,Medium,Tier 3,76834,15366
13.4,9.9,New York,0,PhD,Medium,Tier 2,99201,99201
16.9,9,Austin,50,Master,Medium,Tier 2,95582,86023
18.9,1.8,Seattle,50,Bachelor,Small,Tier 2,80499,76474
18.7,5.7,Chicago,50,PhD,Large,Tier 3,111259,94570
16.6,4.1,Remote,100,Bachelor,Small,Tier 3,53522,48169
1.4,0.8,Chicago,0,Master,Medium,Tier 1,56882,48349
4.4,1.1,Bangalore,0,PhD,Large,Tier 3,52327,10465
15.9,7.5,Remote,100,PhD,Small,Tier 2,96772,87094
7.6,9,Seattle,50,Bachelor,Medium,Tier 2,49005,46554
6.6,7.7,Remote,0,PhD,Medium,Tier 2,73082,65773
14.6,3.2,Austin,100,Master,Large,Tier 2,96685,87016
10,7,Remote,100,Master,Large,Tier 3,67459,60713
15.5,4.7,Chicago,50,Master,Large,Tier 3,79231,67346
1.4,4.6,Austin,50,Bachelor,Large,Tier 2,38432,34588
1.5,1.9,New York,0,Master,Large,Tier 3,44353,44353
5.9,0.7,Bangalore,50,Master,Small,Tier 2,51038,10207
16.5,2.4,Remote,100,Bachelor,Medium,Tier 2,79657,71691
5.4,5,Chicago,100,Master,Large,Tier 3,50807,43185
5.7,4.6,Austin,100,PhD,Large,Tier 1,93069,83762
7.1,4.2,Chicago,50,Master,Large,Tier 2,71244,60557
5.1,7,Remote,50,Master,Large,Tier 3,47599,42839
18,1,San Francisco,0,Master,Small,Tier 3,72224,79446
12.8,9.3,Remote,100,Master,Medium,Tier 3,64637,58173
2,4.1,Austin,100,Master,Large,Tier 2,50632,45568
8.4,4.4,Austin,100,PhD,Small,Tier 3,56309,50678
15.4,7.7,Austin,50,PhD,Medium,Tier 1,126356,113720
3.6,4.7,Bangalore,0,Master,Medium,Tier 3,43916,8783
13.3,1.6,San Francisco,100,Bachelor,Small,Tier 2,65264,71790
9.2,2.5,Seattle,0,Master,Medium,Tier 2,67730,64343
13,3.1,Bangalore,100,PhD,Large,Tier 2,107142,21428
16.7,4.8,New York,0,Master,Large,Tier 1,124040,124040
12.8,6.6,Seattle,0,PhD,Large,Tier 3,84583,80353
17.7,6.3,London,0,PhD,Medium,Tier 2,111430,89144
4.6,3.8,Austin,0,Bachelor,Large,Tier 1,64097,57687
16.8,4.5,London,0,Master,Large,Tier 1,123355,98684
11.7,4.9,London,0,PhD,Large,Tier 2,103427,82741
12.2,4,Austin,0,Bachelor,Large,Tier 3,56881,51192
18.6,8.3,San Francisco,100,PhD,Small,Tier 1,124923,137415
8.8,8.2,Austin,50,Bachelor,Large,Tier 1,75856,68270
10.8,8.7,London,100,Master,Medium,Tier 1,91948,73558
3.8,7.5,Austin,50,PhD,Small,Tier 2,57250,51525
0.6,1.3,San Francisco,50,PhD,Medium,Tier 1,55135,60648
8.1,0.6,Austin,100,Master,Medium,Tier 3,50734,45660
9.1,4.8,Chicago,50,PhD,Small,Tier 1,87980,74783
17,4.1,Chicago,100,Bachelor,Small,Tier 1,89303,75907
18.8,7.6,Chicago,0,Bachelor,Medium,Tier 1,103016,87563
7.9,7.1,London,100,Master,Small,Tier 2,54546,43636
15,4.8,Seattle,100,Bachelor,Medium,Tier 2,74319,70603
0.3,5.5,New York,50,Master,Large,Tier 3,33783,33783
14.8,6.2,Seattle,100,Bachelor,Large,Tier 2,77070,73216
11.4,1.7,San Francisco,100,Bachelor,Small,Tier 3,51695,56864
16,8.4,Remote,50,PhD,Small,Tier 3,81684,73515
7.7,2.8,Seattle,0,PhD,Small,Tier 1,81223,77161
6.9,6,Bangalore,100,Bachelor,Large,Tier 3,42119,8423
4.3,3.2,Seattle,0,Bachelor,Small,Tier 1,45162,42903
11.2,0,Austin,50,Bachelor,Small,Tier 2,60641,54576
2.2,4.5,New York,50,Master,Small,Tier 3,35783,35783
19.4,0.8,Remote,50,PhD,Large,Tier 1,153267,137940
18.7,9.6,San Francisco,0,Bachelor,Medium,Tier 3,72638,79901
3.1,6.2,Seattle,100,Master,Medium,Tier 3,35961,34162
2.1,2.6,San Francisco,100,Bachelor,Small,Tier 3,33346,36680
16.5,5.4,London,100,Bachelor,Medium,Tier 2,81511,65208
4.1,0.7,Chicago,100,Bachelor,Medium,Tier 1,47815,40642
14.9,6.2,Bangalore,50,PhD,Large,Tier 1,134050,26810
0.1,7.8,San Francisco,0,Master,Small,Tier 3,27203,29923
15.8,6.7,Chicago,0,Bachelor,Medium,Tier 3,61641,52394
6.6,1.2,Austin,50,Master,Small,Tier 3,45645,41080
6.6,4.5,Austin,50,Master,Medium,Tier 2,64518,58066
2.8,7.6,Remote,0,Master,Medium,Tier 2,48454,43608
19.4,2.8,Remote,0,Master,Medium,Tier 2,107204,96483
10.2,2.9,Chicago,100,Master,Small,Tier 1,79242,67355
4.1,4.7,Remote,100,Bachelor,Medium,Tier 1,53142,47827
17.7,4.3,New York,50,Bachelor,Large,Tier 3,73477,73477
6.3,3.6,Bangalore,100,Bachelor,Large,Tier 1,66330,13266
7.6,2.1,Remote,0,PhD,Large,Tier 2,86152,77536
3.3,9.2,Remote,50,PhD,Medium,Tier 3,48980,44082
7.6,7.4,Chicago,0,Master,Small,Tier 3,43917,37329
7.6,9.8,Remote,50,Master,Medium,Tier 2,60630,54567
4.1,1.7,Bangalore,100,PhD,Medium,Tier 2,66284,13256
10,1.4,Seattle,100,PhD,Small,Tier 1,87198,82838
16.2,7,London,100,PhD,Large,Tier 3,101802,81441
7.2,2.6,San Francisco,0,PhD,Medium,Tier 3,55708,61278
3.4,2.9,London,50,Master,Medium,Tier 3,41045,32836
11.5,9.9,Austin,100,Bachelor,Small,Tier 3,48610,43749
12.3,8.8,Seattle,50,Master,Small,Tier 3,56024,53222
4.8,6,London,100,PhD,Small,Tier 1,73172,58537
15.3,6.2,Seattle,100,Master,Large,Tier 2,94354,89636
2.4,9.8,Seattle,50,Bachelor,Small,Tier 3,25452,24179
14.4,6.7,London,100,Bachelor,Small,Tier 1,81327,65061
2.6,9.9,Austin,0,Bachelor,Medium,Tier 3,31037,27933
17.9,0.4,San Francisco,50,Master,Small,Tier 1,106097,116706
14.5,9.6,Austin,50,Bachelor,Small,Tier 2,65707,59136
20,6.5,San Francisco,0,Master,Small,Tier 1,113574,124931
7.3,3.8,Austin,50,Master,Small,Tier 1,69707,62736
18.8,1,Chicago,0,PhD,Large,Tier 3,108276,92034
17.3,6.5,New York,0,Bachelor,Small,Tier 1,89646,89646
13.7,7.5,San Francisco,0,PhD,Small,Tier 3,76889,84577
6.2,7.3,Chicago,100,Master,Large,Tier 1,76092,64678
4.9,1.1,Austin,100,PhD,Medium,Tier 3,53924,48531
16.6,9.9,San Francisco,100,PhD,Large,Tier 3,101870,112057
7.6,7.6,San Francisco,100,PhD,Medium,Tier 3,57478,63225
13.5,4.1,New York,50,Bachelor,Medium,Tier 1,81146,81146
17.7,3.2,Remote,50,PhD,Small,Tier 3,82238,74014
19,5.4,Remote,100,Bachelor,Small,Tier 1,94155,84739
2.8,4.4,San Francisco,100,PhD,Small,Tier 1,63000,69300
20,9.9,New York,50,PhD,Small,Tier 1,126124,126124
1.3,8.5,Austin,100,Bachelor,Large,Tier 2,39244,35319
5.9,0.2,Austin,100,PhD,Large,Tier 2,79382,71443
7.8,8.2,London,100,Master,Medium,Tier 2,60703,48562
1.8,5.9,Austin,0,Master,Small,Tier 1,45155,40639
11,1.8,Bangalore,50,Bachelor,Small,Tier 3,48077,9615
4,2.2,San Francisco,100,Master,Large,Tier 1,69210,76131
14.4,5.6,London,100,PhD,Large,Tier 2,108390,86712
5.4,7.1,Chicago,0,PhD,Medium,Tier 2,62756,53342
8.8,9.1,Seattle,0,PhD,Medium,Tier 2,79345,75377
2,8.3,New York,0,Bachelor,Medium,Tier 3,29225,29225
4.6,1.4,Bangalore,100,Master,Large,Tier 3,52000,10400
13.7,5,Bangalore,100,PhD,Large,Tier 3,86253,17250
12.1,1.2,Seattle,50,Master,Small,Tier 1,80205,76194
8.7,9,Chicago,0,PhD,Small,Tier 3,60271,51230
18.5,1.2,Chicago,0,Master,Medium,Tier 3,86471,73500
6.5,9,Chicago,50,Bachelor,Large,Tier 2,52866,44936
2.4,6.9,San Francisco,50,Master,Small,Tier 2,45765,50341
14.1,6,Bangalore,100,PhD,Medium,Tier 1,120617,24123
12.8,4.1,Seattle,0,Bachelor,Small,Tier 1,74910,71164
10.8,9.9,Seattle,50,PhD,Small,Tier 2,74517,70791
8.5,4.2,Austin,50,PhD,Medium,Tier 1,89516,80564
3.1,4.8,Austin,100,PhD,Small,Tier 2,56855,51169
0.5,7.1,San Francisco,100,PhD,Small,Tier 2,40299,44328
12.1,9.1,Chicago,50,Master,Large,Tier 2,88418,75155
19.3,9.5,Austin,100,Master,Small,Tier 1,113716,102344
13.4,5.4,Seattle,100,Master,Small,Tier 3,64242,61029
1.2,6,San Francisco,100,PhD,Small,Tier 3,36199,39818
4.2,3.4,San Francisco,50,PhD,Medium,Tier 3,46498,51147
7.3,5.2,Seattle,100,Master,Large,Tier 3,62075,58971
